id_depto,departamento_nombre,id_provincia
70126,25 de mayo,70
6854,25 de mayo,6
62091,25 de mayo,62
70063,9 de julio,70
82077,9 de julio,82
6588,9 de julio,6
62007,adolfo alsina,62
6007,adolfo alsina,6
70007,albardon,70
70014,angaco,70
66007,anta,66
46007,arauco,46
74007,ayacucho,74
6049,azul,6
58014,añelo,58
6070,baradero,6
62021,bariloche,62
82007,belgrano,82
18007,bella vista,18
22014,bermejo,22
66021,cafayate,66
42014,caleu caleu,42
86049,capital,86
54028,capital,54
82014,caseros,82
70035,caucete,70
6210,chacabuco,6
90021,chicligasta,90
66042,chicoana,66
6224,chivilcoy,6
6175,colon,6
30008,colon,30
30015,concordia,30
58035,confluencia,58
6189,coronel dorrego,6
6196,coronel pringles,6
74021,coronel pringles,74
6203,coronel suarez,6
26014,cushamen,26
38014,el carmen,38
62035,el cuy,62
26021,escalante,26
6266,exaltacion de la cruz,6
90028,famailla,90
30028,federacion,30
30035,federal,30
26028,florentino ameghino,26
26035,futaleufu,26
26049,gastre,26
6280,general alvarado,6
18056,general alvear,18
6287,general alvear,6
66049,general guemes,66
22063,general guemes,22
66056,general jose de san martin,66
82049,general obligado,82
6343,general paz,6
6357,general pueyrredon,6
62042,general roca,62
50021,godoy cruz,50
90035,graneros,90
30049,gualeguay,30
6399,guamini,6
78021,guer aike,78
54063,iguazu,54
90042,juan bautista alberdi,90
14056,juarez celman,14
82063,la capital,82
90049,la cocha,90
66098,la viña,66
26056,languiñeo,26
6455,las flores,6
50049,las heras,50
50056,lavalle,50
38035,ledesma,38
54077,libertador general san martin,54
6497,lujan,6
90063,lules,90
78042,magallanes,78
50070,maipu,50
50077,malargue,50
14063,marcos juarez,14
26063,martires,26
6532,mercedes,6
66112,metan,66
90070,monteros,90
54091,obera,54
6595,olavarria,6
66126,oran,66
30084,parana,30
26070,paso de indios,26
6602,patagones,6
62063,pichi mahuida,62
6638,pilar,6
34049,pilcomayo,34
10084,poman,10
86140,quebrachos,86
42119,quemu quemu,42
6672,rauch,6
26077,rawson,26
90077,rio chico,90
14105,rio primero,14
14112,rio seco,14
26084,rio senguer,26
50084,rivadavia,50
82084,rosario,82
66140,rosario de la frontera,66
6700,saavedra,6
50091,san carlos,50
66154,san carlos,66
54098,san ignacio,54
54105,san javier,54
82119,san lorenzo,82
50098,san martin,50
70091,san martin,70
18147,san martin,18
6770,san pedro,6
38063,san pedro,38
50105,san rafael,50
50112,santa rosa,50
70105,sarmiento,70
6791,tandil,6
10105,tinogasta,10
6833,tres arroyos,6
50119,tunuyan,50
30098,uruguay,30
10112,valle viejo,10
30113,villaguay,30
90119,yerba buena,90
6014,adolfo gonzales chaves,6
6084,benito juarez,6
6105,bolivar,6
70021,calingasta,70
6134,cañuelas,6
46042,chilecito,46
14028,cruz del eje,14
18035,curuzu cuatia,18
6260,esteban echeverria,6
14042,general san martin,14
6651,puan,6
70077,rawson,70
14133,san javier,14
38070,santa barbara,38
42154,utracan,42
30105,victoria,30
6875,villarino,6
6882,zarate,6
66014,cachi,66
14014,capital,14
6161,carmen de areco,6
26042,gaiman,26
6329,general las heras,6
26098,tehuelches,26
82098,san javier,82
14147,santa maria,14
6441,la plata,6
50126,tupungato,50
62056,ñorquinco,62
